region_id,area_px,area_km2,fill_ratio,bbox_aspect,centroid_row,centroid_col,geo_x,geo_y,dist_from_centre_km,bbox_r0,bbox_c0,bbox_r1,bbox_c1,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,pct_gt25,shadow_fraction,shadow_std,shadow_valid_px,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,m3_b09_750nm,m3_b22_1010nm,m3_b56_1818nm,m3_b61_2018nm,m3_b74_2537nm,m3_b81_2817nm,m3_b84_2936nm,m3_b85_2976nm,m3_valid_px,m3_valid_pct,grail_anom_context,grail_boug_context,psr_fraction,dist_to_psr_km,illumination_mean,illumination_min,qualification_status,disqualification_reason,BD1000,BD2000,OH_SPECTRAL_INDICATOR,ICE_SPECTRAL_INDICATOR,dfsar_ok,minirf_ok,radar_flag,dfsar_cpr_class,cpr_norm,s1_norm,Radar_Score,radar_data_source,ICE_SPECTRAL_INDICATOR_norm,OH_SPECTRAL_INDICATOR_norm,BD1000_norm,BD2000_norm,Science_Composite,Evidence_Convergence_Count,evidence_band,n_valid_spectral,rank_by_composite_only,rank
459,518,0.32375,0.4427,1.3,178.6254826,2044.202703,5629.567568,41009.86293,41.394,166,2023,196,2062,7.423,3.7945,21.0181,6.8146,3.4591,-1127.5012,1,0,0.4536,0.4426,518,0.156813,0.158167,0.056255,1,1,0.11672,0.116774,0.016924,1,1,-0.001597,-0.000827,0.000213,-0.003455,-0.004321,-0.004563,-0.010249,-0.019507,518,1,67.2511,77.9602,0,24.667413,,,QUALIFIED,,,,,,TRUE,TRUE,BOTH,normal_low,0.163705969,0.175069787,0.169388,BOTH,0,0,0,0,0.050816,0,LOW_CONVERGENCE,0,964,1059
715,1934,1.20875,0.4568,1.26,256.5894519,2195.386246,9409.156153,39060.7637,40.1777,225,2156,283,2229,8.2002,4.1034,28.7172,6.7347,2.7217,-438.6342,1,0.0026,0.107,0.2853,1934,0.203025,0.183263,0.075713,1,1,0.072437,0.069039,0.022692,1,1,0.059608,0.070778,0.101401,0.104941,0.126457,0.128004,0.138006,0.13391,1934,1,67.2511,77.9602,0,20.155644,,,QUALIFIED,,-0.187391,-0.034911,-0.012233,0.02968,TRUE,TRUE,BOTH,normal_low,0.228061453,0.106925111,0.167493,BOTH,0.001337,0,0,0,0.050649,0,LOW_CONVERGENCE,4,965,1060
15608,216,0.135,0.6429,1.31,2155.810185,3451.296296,40806.90741,-8419.75463,41.6671,2148,3442,2164,3463,5.2072,2.2534,12.6071,4.781,1.8623,-912.44,1,0,0.5791,0.4664,216,0.19011,0.18873,0.026957,1,1,0.046568,0.04724,0.005933,1,1,-0.003565,0.001208,0.000501,0.001814,0.017756,0.008653,0.000761,0.004421,216,1,71.5812,82.9217,0,20.538805,,,QUALIFIED,,,,0.512672,,TRUE,TRUE,BOTH,normal_low,0.210075842,0.067116728,0.138596,BOTH,0,0.043515,0,0,0.050282,0,LOW_CONVERGENCE,1,969,1061
1532,345,0.215625,0.3947,1.65,435.715942,1831.510145,312.2536232,34582.60145,34.5835,414,1820,452,1843,5.0418,2.1992,15.4384,4.6375,1.7112,-623.9014,1,0,0.0878,0.2265,345,0.17619,0.168188,0.041704,1,1,0.092638,0.089956,0.014721,1,1,0.044395,0.046695,0.063669,0.066882,0.081628,0.080517,0.087951,0.084318,345,1,49.6089,82.7432,0,23.387724,,,QUALIFIED,,-0.051808,-0.050464,0.013611,0.041307,TRUE,TRUE,BOTH,normal_low,0.190690653,0.13801132,0.164351,BOTH,0.001861,0.001155,0,0,0.050095,0,LOW_CONVERGENCE,4,972,1062
9703,1525,0.953125,0.4926,1.67,1457.27541,1497.80918,-8030.270492,9043.614754,12.0936,1434,1467,1477,1539,11.1274,4.8715,25.4899,9.8789,4.3506,-1891.3686,1,0.0013,0.9449,0.2073,1525,,,,0,0,0.078401,0.071947,0.025816,1,1,0.003004,0.002789,0.000709,-0.000793,0.00255,0.000357,-0.001875,-0.006278,1525,1,0.5626,56.8385,0,11.955856,,,QUALIFIED,,0.071571,,0.86,,FALSE,TRUE,S1_ONLY,no_data,,0.116102783,0.116103,S1_ONLY,0,0.072996,0.005018,0,0.049932,0,LOW_CONVERGENCE,2,975,1063
1938,176,0.11,0.5752,1.06,517.2784091,1052.454545,-19164.13636,32543.53977,37.7663,509,1044,527,1061,5.3589,2.9307,13.5432,4.5115,1.3976,-997.5216,1,0,0.1359,0.2963,176,,,,0,0,0.102255,0.099827,0.010773,1,1,0.041419,0.045429,0.058669,0.065799,0.077311,0.077688,0.070225,0.053252,176,1,35.9271,86.4979,0,26.815539,,,QUALIFIED,,-0.096815,-0.121529,-0.004876,0.241695,FALSE,TRUE,S1_ONLY,no_data,,0.152810393,0.15281,S1_ONLY,0.010888,0,0,0,0.049109,0,LOW_CONVERGENCE,4,983,1064
2557,217,0.135625,0.5711,1.05,617.235023,2183.115207,9102.380184,30044.62442,31.3929,608,2174,628,2193,5.8999,4.0193,18.1943,4.6589,1.5982,-2084.9224,1,0,1,0,217,,,,0,0,0.109305,0.110518,0.013236,1,1,0.000401,-0.002013,-0.000924,-0.001068,-0.004243,-0.008436,-0.000424,0.002195,217,1,40.2924,84.9679,0,17.925,,,QUALIFIED,,,,,,FALSE,TRUE,S1_ONLY,no_data,,0.16365925,0.163659,S1_ONLY,0,0,0,0,0.049098,0,LOW_CONVERGENCE,0,984,1065
13055,3013,1.883125,0.4714,1.38,1812.750083,236.898772,-39553.0307,156.7479257,39.5528,1776,191,1844,285,9.9513,4.1378,21.6436,8.714,3.5066,-2234.3693,1,0,1,0,3013,0.192193,0.185244,0.04512,1,1,0.029278,0.028284,0.006556,1,1,0.006755,0.010312,0.005988,0.006574,0.007516,0.003917,0.005242,0.00414,3013,1,35.5577,101.3636,0,0.05,,,QUALIFIED,,-0.526573,-0.097862,0.478845,0.210225,TRUE,TRUE,BOTH,normal_low,0.212976657,0.040510096,0.126743,BOTH,0.00947,0.040644,0,0,0.048993,0,LOW_CONVERGENCE,4,985,1066
10387,138,0.08625,0.5897,1.38,1502.84058,3390.043478,39275.58696,7904.485507,40.0635,1494,3385,1512,3398,3.3476,2.2245,12.8689,2.407,0.9527,-1228.8858,1,0,0.8603,0.2757,138,0.155624,0.155885,0.022602,1,1,,,,0,0,0.030257,0.039621,0.04657,0.052666,0.062589,0.061605,0.054595,0.055765,138,1,31.5436,77.8519,0,4.176197,,,QUALIFIED,,-0.309482,-0.1309,0.015722,-0.021431,TRUE,FALSE,CPR_ONLY,normal_low,0.162050151,,0.16205,CPR_ONLY,0,0.001334,0,0,0.048882,0,LOW_CONVERGENCE,4,987,1067
598,692,0.4325,0.4733,1.26,218.6690751,2188.817919,9244.947977,40008.77312,41.0626,196,2174,239,2208,6.2027,2.3109,17.2345,5.0695,1.5273,-450.9375,1,0,0.292,0.4093,692,0.147814,0.13955,0.042314,1,1,0.109407,0.104569,0.024547,1,1,0.211394,0.259616,0.347859,0.375294,0.458508,0.44337,0.491607,0.457674,692,1,67.2511,77.9602,0,20.893734,,,QUALIFIED,,-0.228114,-0.078868,0.033016,0.069025,TRUE,TRUE,BOTH,normal_low,0.151173834,0.163816213,0.157495,BOTH,0.003109,0.002802,0,0,0.048742,0,LOW_CONVERGENCE,4,988,1068
