region_id,geo_x,geo_y,area_km2,dist_from_centre_km,slope_mean_deg,slope_std_deg,slope_max_deg,pct_gt25,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,psr_fraction,dist_to_psr_km,shadow_fraction,shadow_std,dfsar_valid_pct,minirf_valid_pct,qualification_status
24124,-1329.2619047619082,-34463.30952380953,0.328125,34.4894,5.9978,2.9036,16.2619,0.0,5.0835,1.958,-1818.9112,1.0,0.04381,0.0,0.6508,0.4147,0.0,1.0,QUALIFIED
24134,-28557.759450171823,-33973.812714776635,0.36375,44.3821,4.1339,2.1821,16.2977,0.0,3.7316,1.8186,-5742.3449,1.0,0.250859,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24164,-2818.5869565217363,-34591.41304347826,0.359375,34.7065,5.1005,3.2724,23.9728,0.0,3.9439,2.6103,-1836.6276,1.0,0.0,0.625,0.9016,0.2551,0.0,1.0,QUALIFIED
24165,-24806.024079320112,-34470.17988668555,0.220625,42.4681,8.2665,3.4141,21.4621,0.0,6.9443,2.0676,-5698.7866,1.0,0.246459,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24187,-735.4697885196365,-34203.35196374623,0.206875,34.2117,8.9401,2.864,16.063,0.0,7.5783,2.0032,-1826.5856,1.0,0.154079,0.0,0.7723,0.3853,0.0,1.0,QUALIFIED
24195,-1838.592269326684,-34796.88154613465,0.250625,34.8459,5.4089,3.079,16.5041,0.0,4.1622,1.5614,-1832.3007,1.0,0.022444,0.0,0.715,0.3866,0.0,1.0,QUALIFIED
24214,-25852.59580838324,-34626.59580838322,0.104375,43.213,4.3715,2.8407,14.3391,0.0,3.1069,0.9463,-5751.6879,1.0,0.449102,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24223,-3100.271689497713,-34693.33561643836,0.136875,34.832,7.338,4.0495,24.2455,0.0,4.9357,1.3226,-1843.3394,1.0,0.0,1.02774,0.9814,0.1,0.0,1.0,QUALIFIED
24230,-2194.7982456140307,-34579.543859649115,0.21375,34.6496,5.6671,3.613,22.5473,0.0,4.6323,2.9901,-1828.8839,1.0,0.008772,0.0,0.7709,0.3731,0.0,1.0,QUALIFIED
24238,-3340.8543307086657,-34636.31102362204,0.079375,34.7975,3.6923,2.3229,12.0842,0.0,3.3386,1.4473,-1835.7575,1.0,0.0,1.274755,0.9975,0.0206,0.0,1.0,QUALIFIED
